Date Time, Water Level, Sigma, I, L 
2016-01-01 00:00,0.728,0.010,0,0
2016-01-01 01:00,0.751,0.010,0,0
2016-01-01 02:00,0.758,0.007,0,0
2016-01-01 03:00,0.810,0.010,0,0
2016-01-01 04:00,0.833,0.013,0,0
2016-01-01 05:00,0.843,0.013,0,0
2016-01-01 06:00,0.807,0.010,0,0
2016-01-01 07:00,0.827,0.013,0,0
2016-01-01 08:00,0.830,0.013,0,0
2016-01-01 09:00,0.774,0.016,0,0
2016-01-01 10:00,0.741,0.013,0,0
2016-01-01 11:00,0.768,0.013,0,0
2016-01-01 12:00,0.778,0.013,0,0
2016-01-01 13:00,0.787,0.016,0,0
2016-01-01 14:00,0.705,0.016,0,0
2016-01-01 15:00,0.682,0.016,0,0
2016-01-01 16:00,0.673,0.016,0,0
2016-01-01 17:00,0.653,0.016,0,0
2016-01-01 18:00,0.653,0.007,0,0
2016-01-01 19:00,0.610,0.010,0,0
2016-01-01 20:00,0.594,0.010,0,0
2016-01-01 21:00,0.581,0.007,0,0
2016-01-01 22:00,0.600,0.007,0,0
2016-01-01 23:00,0.564,0.007,0,0
2016-01-02 00:00,0.610,0.007,0,0
2016-01-02 01:00,0.696,0.007,0,0
2016-01-02 02:00,0.692,0.007,0,0
2016-01-02 03:00,0.758,0.007,0,0
2016-01-02 04:00,0.719,0.007,0,0
2016-01-02 05:00,0.725,0.010,0,0
2016-01-02 06:00,0.761,0.007,0,0
2016-01-02 07:00,0.738,0.010,0,0
2016-01-02 08:00,0.705,0.010,0,0
2016-01-02 09:00,0.732,0.007,0,0
2016-01-02 10:00,0.669,0.003,0,0
2016-01-02 11:00,0.650,0.007,0,0
2016-01-02 12:00,0.653,0.007,0,0
2016-01-02 13:00,0.630,0.003,0,0
2016-01-02 14:00,0.604,0.003,0,0
2016-01-02 15:00,0.597,0.007,0,0
2016-01-02 16:00,0.571,0.010,0,0
2016-01-02 17:00,0.581,0.007,0,0
2016-01-02 18:00,0.571,0.007,0,0
2016-01-02 19:00,0.577,0.007,0,0
2016-01-02 20:00,0.535,0.007,0,0
2016-01-02 21:00,0.548,0.007,0,0
2016-01-02 22:00,0.584,0.007,0,0
2016-01-02 23:00,0.614,0.003,0,0
2016-01-03 00:00,0.666,0.007,0,0
2016-01-03 01:00,0.669,0.010,0,0
2016-01-03 02:00,0.673,0.007,0,0
2016-01-03 03:00,0.751,0.007,0,0
2016-01-03 04:00,0.778,0.007,0,0
2016-01-03 05:00,0.807,0.007,0,0
2016-01-03 06:00,0.801,0.007,0,0
2016-01-03 07:00,0.794,0.010,0,0
2016-01-03 08:00,0.745,0.003,0,0
2016-01-03 09:00,0.696,0.003,0,0
2016-01-03 10:00,0.696,0.007,0,0
2016-01-03 11:00,0.643,0.003,0,0
2016-01-03 12:00,0.650,0.003,0,0
2016-01-03 13:00,0.620,0.003,0,0
2016-01-03 14:00,0.571,0.003,0,0
2016-01-03 15:00,0.581,0.003,0,0
2016-01-03 16:00,0.623,0.003,0,0
2016-01-03 17:00,0.614,0.003,0,0
2016-01-03 18:00,0.610,0.003,0,0
2016-01-03 19:00,0.627,0.003,0,0
2016-01-03 20:00,0.643,0.000,0,0
2016-01-03 21:00,0.659,0.003,0,0
2016-01-03 22:00,0.673,0.003,0,0
2016-01-03 23:00,0.689,0.000,0,0
2016-01-04 00:00,0.696,0.000,0,0
2016-01-04 01:00,0.712,0.000,0,0
2016-01-04 02:00,0.751,0.000,0,0
2016-01-04 03:00,0.745,0.007,0,0
2016-01-04 04:00,0.732,0.000,0,0
2016-01-04 05:00,0.712,0.007,0,0
2016-01-04 06:00,0.735,0.003,0,0
2016-01-04 07:00,0.709,0.003,0,0
2016-01-04 08:00,0.640,0.003,0,0
2016-01-04 09:00,0.600,0.000,0,0
2016-01-04 10:00,0.564,0.000,0,0
2016-01-04 11:00,0.531,0.003,0,0
2016-01-04 12:00,0.495,0.003,0,0
2016-01-04 13:00,0.479,0.003,0,0
2016-01-04 14:00,0.440,0.003,0,0
2016-01-04 15:00,0.397,0.003,0,0
2016-01-04 16:00,0.358,0.003,0,0
2016-01-04 17:00,0.338,0.003,0,0
2016-01-04 18:00,0.358,0.003,0,0
2016-01-04 19:00,0.407,0.007,0,0
2016-01-04 20:00,0.397,0.003,0,0
2016-01-04 21:00,0.423,0.007,0,0
2016-01-04 22:00,0.459,0.003,0,0
2016-01-04 23:00,0.505,0.003,0,0
2016-01-05 00:00,0.502,0.003,0,0
2016-01-05 01:00,0.538,0.003,0,0
2016-01-05 02:00,0.587,0.003,0,0
2016-01-05 03:00,0.610,0.003,0,0
2016-01-05 04:00,0.630,0.000,0,0
2016-01-05 05:00,0.650,0.000,0,0
2016-01-05 06:00,0.669,0.000,0,0
2016-01-05 07:00,0.699,0.000,0,0
2016-01-05 08:00,0.676,0.003,0,0
2016-01-05 09:00,0.630,0.003,0,0
2016-01-05 10:00,0.568,0.007,0,0
2016-01-05 11:00,0.518,0.007,0,0
2016-01-05 12:00,0.512,0.007,0,0
2016-01-05 13:00,0.479,0.010,0,0
2016-01-05 14:00,0.443,0.010,0,0
2016-01-05 15:00,0.420,0.010,0,0
2016-01-05 16:00,0.404,0.013,0,0
2016-01-05 17:00,0.423,0.013,0,0
2016-01-05 18:00,0.410,0.016,0,0
2016-01-05 19:00,0.476,0.016,0,0
2016-01-05 20:00,0.531,0.020,0,0
2016-01-05 21:00,0.568,0.016,0,0
2016-01-05 22:00,0.568,0.016,0,0
2016-01-05 23:00,0.591,0.020,0,0
2016-01-06 00:00,0.627,0.013,0,0
2016-01-06 01:00,0.719,0.013,0,0
2016-01-06 02:00,0.784,0.020,0,0
2016-01-06 03:00,0.807,0.013,0,0
2016-01-06 04:00,0.860,0.010,0,0
2016-01-06 05:00,0.853,0.003,0,0
2016-01-06 06:00,0.902,0.000,0,0
2016-01-06 07:00,0.919,0.003,0,0
2016-01-06 08:00,0.919,0.007,0,0
2016-01-06 09:00,0.883,0.007,0,0
2016-01-06 10:00,0.846,0.010,0,0
2016-01-06 11:00,0.791,0.003,0,0
2016-01-06 12:00,0.764,0.007,0,0
2016-01-06 13:00,0.755,0.003,0,0
2016-01-06 14:00,0.712,0.007,0,0
2016-01-06 15:00,0.692,0.003,0,0
2016-01-06 16:00,0.663,0.003,0,0
2016-01-06 17:00,0.659,0.003,0,0
2016-01-06 18:00,0.696,0.003,0,0
2016-01-06 19:00,0.758,0.003,0,0
2016-01-06 20:00,0.817,0.003,0,0
2016-01-06 21:00,0.820,0.007,0,0
2016-01-06 22:00,0.879,0.003,0,0
2016-01-06 23:00,0.932,0.003,0,0
2016-01-07 00:00,0.984,0.000,0,0
2016-01-07 01:00,0.955,0.010,0,0
2016-01-07 02:00,1.083,0.003,0,0
2016-01-07 03:00,1.129,0.000,0,0
2016-01-07 04:00,1.148,0.000,0,0
2016-01-07 05:00,1.207,0.003,0,0
2016-01-07 06:00,1.227,0.000,0,0
2016-01-07 07:00,1.257,0.000,0,0
2016-01-07 08:00,1.250,0.000,0,0
2016-01-07 09:00,1.224,0.000,0,0
2016-01-07 10:00,1.184,0.003,0,0
2016-01-07 11:00,1.155,0.007,0,0
2016-01-07 12:00,1.125,0.000,0,0
2016-01-07 13:00,1.083,0.000,0,0
2016-01-07 14:00,1.063,0.003,0,0
2016-01-07 15:00,1.033,0.003,0,0
2016-01-07 16:00,0.988,0.003,0,0
2016-01-07 17:00,0.968,0.003,0,0
2016-01-07 18:00,0.961,0.007,0,0
2016-01-07 19:00,0.988,0.003,0,0
2016-01-07 20:00,1.033,0.010,0,0
2016-01-07 21:00,1.079,0.003,0,0
2016-01-07 22:00,1.112,0.007,0,0
2016-01-07 23:00,1.129,0.003,0,0
2016-01-08 00:00,1.155,0.003,0,0
2016-01-08 01:00,1.198,0.003,0,0
2016-01-08 02:00,1.217,0.003,0,0
2016-01-08 03:00,1.266,0.000,0,0
2016-01-08 04:00,1.309,0.000,0,0
2016-01-08 05:00,1.329,0.003,0,0
2016-01-08 06:00,1.342,0.003,0,0
2016-01-08 07:00,1.365,0.000,0,0
2016-01-08 08:00,1.355,0.003,0,0
2016-01-08 09:00,1.325,0.000,0,0
2016-01-08 10:00,1.293,0.000,0,0
2016-01-08 11:00,1.253,0.000,0,0
2016-01-08 12:00,1.220,0.003,0,0
2016-01-08 13:00,1.158,0.003,0,0
2016-01-08 14:00,1.119,0.000,0,0
2016-01-08 15:00,1.099,0.007,0,0
