Date Time, Water Level, Sigma, I, L 
2016-01-01 00:00,0.888,0.210,0,0
2016-01-01 01:00,1.440,0.249,0,0
2016-01-01 02:00,2.066,0.285,0,0
2016-01-01 03:00,2.578,0.305,0,0
2016-01-01 04:00,3.270,0.262,0,0
2016-01-01 05:00,3.733,0.292,0,0
2016-01-01 06:00,3.536,0.302,0,0
2016-01-01 07:00,3.047,0.249,0,0
2016-01-01 08:00,2.312,0.236,0,0
2016-01-01 09:00,1.705,0.230,0,0
2016-01-01 10:00,0.980,0.220,0,0
2016-01-01 11:00,0.797,0.243,0,0
2016-01-01 12:00,0.944,0.217,0,0
2016-01-01 13:00,1.817,0.207,0,0
2016-01-01 14:00,2.480,0.223,0,0
2016-01-01 15:00,3.110,0.226,0,0
2016-01-01 16:00,3.661,0.220,0,0
2016-01-01 17:00,4.104,0.253,0,0
2016-01-01 18:00,3.789,0.203,0,0
2016-01-01 19:00,3.208,0.207,0,0
2016-01-01 20:00,2.549,0.184,0,0
2016-01-01 21:00,2.033,0.200,0,0
2016-01-01 22:00,1.282,0.256,0,0
2016-01-01 23:00,0.826,0.200,0,0
2016-01-02 00:00,0.596,0.164,0,0
2016-01-02 01:00,0.843,0.190,0,0
2016-01-02 02:00,1.531,0.171,0,0
2016-01-02 03:00,1.984,0.135,0,0
2016-01-02 04:00,2.814,0.171,0,0
2016-01-02 05:00,3.438,0.171,0,0
2016-01-02 06:00,3.510,0.164,0,0
2016-01-02 07:00,3.270,0.161,0,0
2016-01-02 08:00,2.896,0.135,0,0
2016-01-02 09:00,2.398,0.128,0,0
2016-01-02 10:00,1.676,0.138,0,0
2016-01-02 11:00,1.066,0.121,0,0
2016-01-02 12:00,1.098,0.115,0,0
2016-01-02 13:00,1.292,0.121,0,0
2016-01-02 14:00,1.814,0.128,0,0
2016-01-02 15:00,2.188,0.108,0,0
2016-01-02 16:00,2.804,0.154,0,0
2016-01-02 17:00,3.244,0.144,0,0
2016-01-02 18:00,3.431,0.135,0,0
2016-01-02 19:00,3.192,0.115,0,0
2016-01-02 20:00,2.804,0.144,0,0
2016-01-02 21:00,2.253,0.154,0,0
2016-01-02 22:00,1.728,0.138,0,0
2016-01-02 23:00,1.043,0.148,0,0
2016-01-03 00:00,0.701,0.121,0,0
2016-01-03 01:00,0.659,0.125,0,0
2016-01-03 02:00,1.059,0.125,0,0
2016-01-03 03:00,1.774,0.141,0,0
2016-01-03 04:00,2.542,0.148,0,0
2016-01-03 05:00,3.178,0.167,0,0
