anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,979 
2016,1,1,1,982 
2016,1,1,2,948 
2016,1,1,3,889 
2016,1,1,4,820 
2016,1,1,5,761 
2016,1,1,6,736 
2016,1,1,7,757 
2016,1,1,8,828 
2016,1,1,9,955 
2016,1,1,10,1120 
2016,1,1,11,1268 
2016,1,1,12,1357 
2016,1,1,13,1376 
2016,1,1,14,1331 
2016,1,1,15,1232 
2016,1,1,16,1101 
2016,1,1,17,959 
2016,1,1,18,827 
2016,1,1,19,721 
2016,1,1,20,654 
2016,1,1,21,646 
2016,1,1,22,702 
2016,1,1,23,797 
2016,1,2,0,891 
2016,1,2,1,958 
2016,1,2,2,995 
2016,1,2,3,1004 
2016,1,2,4,989 
2016,1,2,5,958 
2016,1,2,6,925 
2016,1,2,7,908 
2016,1,2,8,917 
2016,1,2,9,960 
2016,1,2,10,1045 
2016,1,2,11,1153 
2016,1,2,12,1244 
2016,1,2,13,1291 
2016,1,2,14,1287 
2016,1,2,15,1233 
2016,1,2,16,1137 
2016,1,2,17,1014 
2016,1,2,18,881 
2016,1,2,19,754 
2016,1,2,20,651 
2016,1,2,21,590 
2016,1,2,22,589 
2016,1,2,23,655 
2016,1,3,0,766 
2016,1,3,1,887 
2016,1,3,2,990 
2016,1,3,3,1067 
2016,1,3,4,1114 
2016,1,3,5,1127 
2016,1,3,6,1108 
2016,1,3,7,1071 
2016,1,3,8,1036 
2016,1,3,9,1015 
2016,1,3,10,1022 
2016,1,3,11,1069 
2016,1,3,12,1142 
2016,1,3,13,1207 
2016,1,3,14,1241 
2016,1,3,15,1230 
2016,1,3,16,1171 
2016,1,3,17,1070 
2016,1,3,18,939 
2016,1,3,19,795 
2016,1,3,20,658 
2016,1,3,21,551 
2016,1,3,22,495 
2016,1,3,23,514 
2016,1,4,0,612 
2016,1,4,1,765 
2016,1,4,2,931 
2016,1,4,3,1079 
2016,1,4,4,1193 
2016,1,4,5,1262 
2016,1,4,6,1278 
2016,1,4,7,1241 
2016,1,4,8,1172 
2016,1,4,9,1100 
2016,1,4,10,1042 
2016,1,4,11,1020 
2016,1,4,12,1050 
2016,1,4,13,1117 
2016,1,4,14,1183 
2016,1,4,15,1218 
2016,1,4,16,1205 
2016,1,4,17,1134 
2016,1,4,18,1013 
2016,1,4,19,855 
2016,1,4,20,684 
2016,1,4,21,529 
2016,1,4,22,420 
2016,1,4,23,383 
2016,1,5,0,444 
2016,1,5,1,599 
2016,1,5,2,812 
2016,1,5,3,1031 
2016,1,5,4,1220 
2016,1,5,5,1358 
2016,1,5,6,1425 
2016,1,5,7,1411 
2016,1,5,8,1328 
2016,1,5,9,1210 
2016,1,5,10,1094 
2016,1,5,11,1006 
2016,1,5,12,977 
2016,1,5,13,1019 
2016,1,5,14,1104 
2016,1,5,15,1185 
2016,1,5,16,1225 
2016,1,5,17,1203 
2016,1,5,18,1106 
2016,1,5,19,945 
2016,1,5,20,744 
2016,1,5,21,538 
2016,1,5,22,368 
2016,1,5,23,270 
2016,1,6,0,277 
2016,1,6,1,406 
2016,1,6,2,637 
2016,1,6,3,914 
2016,1,6,4,1183 
2016,1,6,5,1404 
2016,1,6,6,1543 
2016,1,6,7,1574 
2016,1,6,8,1500 
2016,1,6,9,1352 
2016,1,6,10,1180 
2016,1,6,11,1026 
2016,1,6,12,931 
2016,1,6,13,925 
2016,1,6,14,1004 
2016,1,6,15,1118 
2016,1,6,16,1214 
2016,1,6,17,1255 
2016,1,6,18,1210 
2016,1,6,19,1066 
2016,1,6,20,846 
2016,1,6,21,594 
2016,1,6,22,359 
2016,1,6,23,187 
2016,1,7,0,125 
2016,1,7,1,202 
2016,1,7,2,419 
2016,1,7,3,729 
2016,1,7,4,1068 
2016,1,7,5,1378 
2016,1,7,6,1610 
2016,1,7,7,1715 
2016,1,7,8,1677 
2016,1,7,9,1523 
2016,1,7,10,1308 
2016,1,7,11,1089 
2016,1,7,12,920 
2016,1,7,13,849 
2016,1,7,14,893 
2016,1,7,15,1017 
2016,1,7,16,1159 
2016,1,7,17,1268 
2016,1,7,18,1298 
2016,1,7,19,1209 
2016,1,7,20,997 
2016,1,7,21,710 
2016,1,7,22,414 
2016,1,7,23,162 
2016,1,8,0,12 
2016,1,8,1,12 
2016,1,8,2,181 
2016,1,8,3,489 
2016,1,8,4,871 
2016,1,8,5,1261 
2016,1,8,6,1595 
2016,1,8,7,1805 
2016,1,8,8,1841 
2016,1,8,9,1712 
2016,1,8,10,1479 
2016,1,8,11,1206 
2016,1,8,12,961 
2016,1,8,13,808 
2016,1,8,14,789 
2016,1,8,15,891 
2016,1,8,16,1058 
